stop_id,stop_code,name,name_he,lat,lng,n_lines,n_allday_lines
13103,21472,Azrieli Mall/Menahem Begin Road,קניון עזריאלי/דרך מנחם בגין,32.074584,34.790607,125,27
13358,25071,Kibbutz Seminar/Namir Road,סמינר הקיבוצים/דרך נמיר,32.101886,34.792779,92,23
51258,43008,Merkazit Hamifrats/Alight,ת. מרכזית המפרץ/הורדה,32.792214,35.034786,91,5
27918,15657,Be'er Sheva Central Station/Alight,ת.מרכזית באר שבע/הורדה,31.243017,34.796138,91,3
10716,4009,Ramot Junction/Golda,צומת רמות/גולדה,31.808253,35.204001,86,21
13322,23017,HaMasger/Israel Tal,המסגר/ישראל טל,32.063805,34.785694,83,18
12910,21188,Namir Road/Yehuda HaMaccabi,דרך נמיר/יהודה המכבי,32.095376,34.794137,80,26
10775,4216,Gesher Hameitarim/Herzl Blvd,גשר המיתרים/שד' הרצל,31.787162,35.199533,80,17
13274,22942,Giv'at Shmu'el Interchange/Road 4,מחלף גבעת שמואל/כביש 4,32.074823,34.843553,79,10
12932,21221,Government Complex/Menahem Begin Road,קריית הממשלה/דרך מנחם בגין,32.070648,34.788840,77,9
41133,638,Hemed Interchange,מחלף חמד,31.801002,35.124540,77,8
41132,640,Hemed Interchange,מחלף חמד,31.800330,35.126238,75,8
48640,20726,Menahem Begin Road/HaMelacha,דרך מנחם בגין/המלאכה,32.067185,34.784932,72,16
12898,21161,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,32.092575,34.840144,71,12
22099,34063,ת. רק''ל בלינסון/קניון אבנת,ת. רק''ל בלינסון/קניון אבנת,32.091717,34.865871,70,17
13204,21669,Azrieli Mall/Menahem Begin Road,קניון עזריאלי/דרך מנחם בגין,32.075726,34.791623,70,15
9046,645,Weizmann/Giv'at Sha'ul,ויצמן/גבעת שאול,31.790348,35.197526,70,12
29480,20349,Tel Aviv Train Station Savidor/Namir Road,ת. רכבת תל אביב - סבידור/דרך נמיר,32.081367,34.794199,69,16
13120,21500,ת.רק''ל בן גוריון/מכון מור,ת.רק''ל בן גוריון/מכון מור,32.091390,34.824447,69,15
10790,5130,Ramot Junction/Golda,צומת רמות/גולדה,31.809649,35.204075,69,10
14595,28627,Tel Aviv Central Station 6th Floor/Alight,ת.מרכזית תל אביב קומה 6/הורדה,32.055512,34.780335,69,7
48415,20728,ת.רק''ל יהודית/דרך מנחם בגין,ת.רק''ל יהודית/דרך מנחם בגין,32.070002,34.787954,67,7
9048,647,Ben Gurion/She'are Yerushalayim,בן גוריון/שערי ירושלים,31.791535,35.196465,65,9
29432,20207,Rabbi Akiva/Varsha Garden,רבי עקיבא/גן ורשה,32.086061,34.832095,65,7
13247,22273,Migdal Concord/Ben Gurion Road,מגדל קונקורד/דרך בן גוריון,32.093343,34.822094,64,12
41599,31660,HaHashmona'im Blvd/Lev Ha'Ir,שדרות החשמונאים/לב העיר,31.900044,35.006690,64,8
14316,26946,Ayalon Mall,קניון איילון,32.098763,34.825450,64,7
12900,21165,Migdal Vita/Ben Gurion Road,מגדל ויטה/דרך בן גוריון,32.094143,34.822193,62,14
10792,5132,Golda Meir Boulevard/Yitshak Mirsky,שדרות גולדה מאיר/יצחק מירסקי,31.822289,35.189471,62,6
14347,27059,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,ת.רק''ל אהרונוביץ'/דרך ז'בוטינסקי,32.092819,34.837720,61,14
333,39247,Herzl/Ole HaGardom,הרצל/עולי הגרדום,32.325694,34.864841,61,12
14077,26583,Geha Interchange/Jabotinsky Road,מחלף גהה/דרך ז'בוטינסקי,32.092621,34.843838,61,11
359,39274,Herzl/Binyamin Mintz,הרצל/בנימין מינץ,32.326176,34.863338,61,7
29336,20047,Namir Road/Einstein,דרך נמיר/אינשטיין,32.111697,34.792204,60,11
13174,21597,Rabbi Akiva/HaRav Kook,רבי עקיבא/הרב קוק,32.087547,34.828114,60,7
6059,58471,Tiberias Central Bus Station/Alight,ת. מרכזית טבריה/הורדה,32.786988,35.537054,60,7
10776,4218,שדרות שז''ר/בנייני האומה,שדרות שז''ר/בנייני האומה,31.787569,35.203469,59,8
47851,52152,Afula Central Station/Alight,ת.מרכזית עפולה/הורדה,32.609242,35.292548,59,7
13341,23060,HaRav Kahaneman/Citroen Plants,הרב כהנמן/קוקה קולה,32.078104,34.842242,59,6
13250,22277,Rabbi Akiva/Kdoshe Varsha Garden,רבי עקיבא/גן קדושי ורשה,32.085985,34.831969,59,6
13037,21371,Kahaneman/HaRav Zonenfeld,כהנמן/הרב זוננפלד,32.080511,34.841412,59,5
358,39273,Herzl/Mintz,הרצל/מינץ,32.326819,34.862473,58,12
13286,22972,רבי עקיבא/רש''י,רבי עקיבא/רש''י,32.085724,34.835008,58,3
16205,32269,בי''ח בלינסון/גשר מבצע ארנון,בי''ח בלינסון/גשר מבצע ארנון,32.091161,34.867870,57,14
13178,21609,Hel HaShiryon/Kibbutz Galuyot,חיל השריון/קיבוץ גלויות,32.048150,34.784520,56,12
332,39246,Herzl/Ole HaGardom,הרצל/עולי הגרדום,32.325412,34.864958,56,7
29378,20105,Levinsky College/Namir Road,מכללת לוינסקי/דרך נמיר,32.136707,34.798164,56,7
9553,1540,Gesher Hameitarim/Herzl Blvd,גשר המיתרים/שד' הרצל,31.787322,35.199369,55,7
29371,20096,Levinsky College/Namir Road,מכללת לוינסקי/דרך נמיר,32.136871,34.798587,55,5
13287,22974,HaRav Kahanman/Rabbi Akiva,הרב כהנמן/רבי עקיבא,32.085320,34.839710,55,4
13320,23014,Azrieli Mall/Menahem Begin Road,קניון עזריאלי/דרך מנחם בגין,32.074453,34.791116,54,11
13979,26402,Rabbi Akiva/Shmu'el HaNavi,רבי עקיבא/שמואל הנביא,32.089797,34.825961,54,6
9959,2524,Har Nof Terminal/Kanfei Nesharim,מסוף הר נוף/כנפי נשרים,31.787190,35.180668,53,11
13181,21615,Namir Road/Pinkas,דרך נמיר/פנקס,32.092013,34.795206,52,17
13207,21684,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,ת.רק''ל בן גוריון/דרך ז'בוטינסקי,32.090946,34.823390,52,13
29339,20050,Kibbutz Seminar/Namir Road,סמינר הקיבוצים/דרך נמיר,32.103962,34.792661,52,8
29340,20051,Namir Road/Einstein,דרך נמיר/אינשטיין,32.113247,34.792778,52,5
599,39522,Netanya Central Station/Alight,ת. מרכזית נתניה/הורדה,32.327128,34.858390,52,5
13136,21534,Hadash Rabin High School/Namir Road,תיכון חדש רבין/דרך נמיר,32.090293,34.795303,51,18
13246,22028,Holtz School/Hel HaShiryon,בית ספר הולץ/חיל השריון,32.046238,34.783261,51,14
13043,21377,Rabi Akiva/HaRishonim,רבי עקיבא/הראשונים,32.090518,34.825597,51,6
5243,57028,Fromachenko/Rimoni,פרומצנקו/רימוני,32.961903,35.498795,51,5
5240,57025,Haim Weizmann/Herzl,חיים וייצמן/הרצל,32.957234,35.496737,51,5
5242,57027,Eliyahu Fromenchenko/Ya'akov Levi,אליהו פרומצ'נקו/יעקב לוי,32.960467,35.498143,50,5
1170,40181,HaNassi Weizmann/HaBanim,הנשיא וייצמן/הבנים,32.439335,34.920875,50,5
1144,40147,HaNassi Weizmann/Hillel Yaffe,הנשיא וייצמן/הלל יפה,32.439840,34.919024,50,5
13067,21415,Namir Road/Yehuda HaMaccabi,דרך נמיר/יהודה המכבי,32.095157,34.794466,49,23
745,39690,Arim Mall/Weizmann,קניון ערים/וייצמן,32.176261,34.903576,49,7
13249,22276,Rabbi Akiva/Yerushalayim,רבי עקיבא/ירושלים,32.086689,34.829338,49,6
29322,20026,HaMasger/HaTa’asiya,המסגר/התעשייה,32.066996,34.786971,48,8
24403,37033,Weizmann/Rothschild,וייצמן/רוטשילד,32.174907,34.909611,48,7
5618,58005,Chaim Weizmann/Mordechai Anielewicz,חיים וייצמן/מרדכי אנילביץ',32.957333,35.498073,48,5
5619,58006,Rasco Center/Haim Weizmann,מרכז רסקו/חיים וייצמן,32.957351,35.496334,48,5
5241,57026,חיים וייצמן/מ''ג יורדי הסירה,חיים וייצמן/מ''ג יורדי הסירה,32.957294,35.498349,48,5
48481,1678,שדרות שז''ר/בנייני האומה,שדרות שז''ר/בנייני האומה,31.787719,35.202632,48,5
29342,20055,Giv'at Shmu'el Interchange/Mivtsa Kadesh,מחלף גבעת שמואל/מבצע קדש,32.075497,34.844626,48,3
9445,1232,Yirmiyahu/Shamgar Ben Anat,ירמיהו/שמגר,31.792377,35.207749,47,11
12975,21274,La Guardia Interchange,מחלף לה גווארדייה,32.059454,34.786354,47,6
5617,58004,HaDli Square,כיכר הדלי,32.958654,35.498640,47,5
11734,6109,Jerusalem Central Bus Station/Alight,ת. מרכזית ירושלים/הורדה,31.789082,35.202487,47,4
29479,20348,Namir Road/Jabotinsky,דרך נמיר/ז'בוטינסקי,32.085267,34.795006,46,15
10742,4075,Shamgar/Ohel Yehoshua,שמגר/אוהל יהושע,31.795289,35.207757,46,13
16212,32277,ת.רק''ל שחם/דרך ז'בוטינסקי,ת.רק''ל שחם/דרך ז'בוטינסקי,32.092183,34.860629,46,13
24400,37030,Arim Mall/Weizmann,קניון ערים/וייצמן,32.176398,34.903889,46,7
37420,19987,Ashdod Central Station,ת. מרכזית אשדוד,31.790236,34.639344,46,7
24404,37034,Weizmann/Rothschild,וייצמן/רוטשילד,32.175091,34.909718,46,7
1169,40180,HaNassi Weizmann/HaBanim,הנשיא וייצמן/הבנים,32.439472,34.921058,46,6
17271,47175,HaNassi Weizmann/Yehuda Halevi,הנשיא ויצמן/יהודה הלוי,32.440531,34.917197,46,6
14325,26966,Cinema City/Road 2,סינמה סיטי/כביש 2,32.147632,34.803351,46,5
13227,21730,Jabotinsky/Abu Hatzeira,ז'בוטינסקי/ אבו חצירא,32.092113,34.832382,45,14
8750,222,אצטדיון טדי/א''ס ביתר,אצטדיון טדי/א''ס ביתר,31.751345,35.188474,45,12
24402,37032,Weizmann/Yerushalayim,ויצמן/ירושלים,32.175585,34.906570,45,7
29344,20057,Ezra/Nehemya,עזרא/נחמיה,32.079563,34.838402,45,5
29401,20142,HaSira Junction South,מחלף הסירה לדרום,32.159868,34.810438,45,5
34495,63267,Moriya/Yerushalayim Blvd,מוריה/שד. ירושלים,32.102840,35.206225,45,1
29482,20353,HaHagana Rail Station/HeHarash,ת. רכבת ההגנה/החרש,32.055692,34.783286,44,14
16203,32267,Ze'ev Jabotinsky Road/HaSivim,דרך זאב ז'בוטינסקי/הסיבים,32.092059,34.858206,44,10
16207,32271,ת.רק''ל דנקנר/דרך ז'בוטינסקי,ת.רק''ל דנקנר/דרך ז'בוטינסקי,32.091101,34.872488,44,10
28915,19429,Soroka Medical Center/Yitzhack Rager,מרכז רפואי סורוקה/יצחק רגר,31.257796,34.798151,44,9
16206,32270,ת.רק''ל שנקר/דרך ז'בוטינסקי,ת.רק''ל שנקר/דרך ז'בוטינסקי,32.092397,34.854627,44,9
13339,23055,Ezra/Damesek Eli'ezer,עזרא/דמשק אליעזר,32.076564,34.836184,44,8
12963,21258,Bar Ilan Bridge/Road 4,גשר בר אילן/כביש 4,32.067809,34.839840,44,7
35332,58860,Safed Central Station/Alight,ת. מרכזית צפת/הורדה,32.970150,35.497206,44,6
601,39524,Neve Itamar Junction,צומת נווה איתמר,32.324396,34.874173,44,5
14348,27063,Geha Interchange/Jabotinsky Road,מחלף גהה/דרך ז'בוטינסקי,32.092310,34.845371,44,3
22062,34017,Shilat Junction,צומת שילת,31.913079,35.016672,44,1
5266,57053,Gan Ha’Ir/HaGalil,גן העיר/הגליל,32.787223,35.539636,43,13
13290,22980,Mor Institute/Zeev Jabotinsky Road,מכון מור/דרך זאב ז'בוטינסקי,32.091417,34.825591,43,13
44960,1556,Yirmiyahu/HaTsvi,ירמיהו/הצבי,31.790922,35.201995,43,13
8733,202,אצטדיון טדי/א''ס ביתר,אצטדיון טדי/א''ס ביתר,31.751193,35.189330,43,13
14054,26544,Jabotinsky Road/Sokolov,דרך ז'בוטינסקי/סוקולוב,32.092321,34.834218,43,11
16202,32266,ת.רק''ל דנקנר/דרך ז'בוטינסקי,ת.רק''ל דנקנר/דרך ז'בוטינסקי,32.090751,34.872151,43,9
13285,22970,Rabbi Akiva/HaRav Kook,רבי עקיבא/הרב קוק,32.087534,34.827965,43,6
2090,41207,Trumpeldor/Ziv Center,טרומפלדור/מרכז זיו,32.783433,35.015140,43,6
14603,30005,Weizman/Nordau,וייצמן/נורדאו,32.172511,34.920316,43,5
29450,20269,Hertsliya Junction,צומת הרצליה,32.164486,34.813124,43,3
18420,51084,Shprinzak/Keren HaYesod,שפרינצק/קרן היסוד,32.958485,35.494245,43,2
24401,37031,Weizmann/Yerushalayim,וייצמן/ירושלים,32.175843,34.906359,42,7
29352,20075,Aharonovich/Rabbi Akiva,אהרונוביץ/ רבי עקיבא,32.086862,34.839274,42,6
5714,58121,Elhadif/Continental,אלחדיף/קונטיננטל,32.792686,35.534658,42,6
2092,41209,Trumpeldor/David Square,טרומפלדור/כיכר דוד,32.784852,35.017412,42,6
1124,40116,תיכון חדרה/רמב''ם,תיכון חדרה/רמב''ם,32.439226,34.914206,42,5
21589,33432,Messubim Interchange,מחלף מסובים,32.038296,34.831105,42,4
23491,35626,Rabbi Yehuda HaNasi/Rabbi Shimon Ben Shetach,רבי יהודה הנשיא/רבי שמעון בן שטח,32.052813,34.965556,42,3
34494,63266,Moriya/Yerushalayim Blvd,מוריה/שד. ירושלים,32.102172,35.208233,42,1
9181,800,ICC Jerusalem/HaNassi HaShishi,בנייני האומה/הנשיא השישי,31.786340,35.203701,41,18
8614,73,שדרות גולדה מאיר/המשורר אצ''ג,שדרות גולדה מאיר/המשורר אצ''ג,31.825302,35.188624,41,11
16195,32259,Jabotinsky/HaSivim,ז'בוטינסקי/הסיבים,32.092536,34.856645,41,10
11292,5667,Shefa Hayyim/Doresh Tov,שפע חיים/דורש טוב,31.797310,35.212587,41,10
3521,42656,מת''מ,מת''מ,32.790385,34.961340,41,7
5712,58119,Neiberg/Bialik,נייברג/ביאליק,32.796622,35.530435,41,6
5713,58120,Ohel Ya'akov/Verner,אוהל יעקב/א.ז. ורנר,32.795200,35.531850,41,6
26669,13949,Soroka Outpatient Clinics/Ben Gurion University,מרפאות חוץ סורוקה/אוניברסיטת בן גוריון,31.261086,34.800344,41,6
29343,20056,Ezra/HaRav Kahanman,עזרא/הרב כהנמן,32.080835,34.839805,41,5
24397,37027,Weizmann/Gordon,וייצמן/גורדון,32.177199,34.899708,41,5
23158,35150,City Hall,עירייה,31.908347,35.007680,41,4
18397,51053,אצ''ל/צה''ל,אצ''ל/צה''ל,32.958982,35.491732,41,3
26121,13106,Soroka Medical Center/Yitzhack Rager,מרכז רפואי סורוקה/יצחק רגר,31.257665,34.798444,41,2
20480,53340,ת. מרכזית ק''ש/הורדה,ת. מרכזית ק''ש/הורדה,33.210071,35.569123,41,2
27522,15211,Malchei Israel/Northern Exit,מלכי ישראל/יציאה צפונית,31.619029,34.767723,41,1
15639,31366,ת.רק''ל שחם/דרך ז'בוטינסקי,ת.רק''ל שחם/דרך ז'בוטינסקי,32.091849,34.860440,40,11
10647,3637,Haim Barlev Boulevard/Hebrew University Boulevard,שדרות חיים ברלב/שדרות האוניברסיטה העברית,31.800347,35.233288,40,9
1184,40197,HaGiborim/Herbert Samuel,הגיבורים/הרברט סמואל,32.436292,34.922659,40,7
5710,58117,Police/Shimon Dahan,משטרה/שמעון דהאן,32.795598,35.525558,40,6
