name,lat,lng,id,system
Bney Zion Hospital,32.807572,34.990500,node/616484913,Carmelit
Carmel Center,32.804678,34.987909,node/615947115,Carmelit
Downtown,32.817490,34.999731,node/616484210,Carmelit
HaNevi'im,32.812621,34.995043,node/3729320319,Carmelit
Hadar – City Hall,32.814656,34.997311,node/4208581362,Carmelit
Masada,32.809660,34.992383,node/616484212,Carmelit
Afula Central Bus Station,32.608808,35.292334,way/525909024,Central Bus Station
Arad central bus station,31.256174,35.211608,way/178883771,Central Bus Station
Ashdod Central Bus Station,31.790783,34.639310,node/931775015,Central Bus Station
Ashkelon Central Bus Station,31.663966,34.566323,way/221010883,Central Bus Station
Beit She'an central bus station,32.498503,35.504563,way/628775509,Central Bus Station
Central Bus Station Hakrayot,32.859370,35.089900,node/10204308535,Central Bus Station
Central Bus Station Harish,32.471135,35.038309,way/1307693043,Central Bus Station
Dimona Central Bus Station,31.068007,35.032515,node/599512036,Central Bus Station
Eilat Central Bus Station,29.556961,34.953122,way/959704805,Central Bus Station
Gedera central bus station,31.815392,34.770979,node/2338540693,Central Bus Station
HaArazim central bus station,31.808884,35.206148,way/885801989,Central Bus Station
Hadera Central bus station,32.435683,34.914089,way/95599816,Central Bus Station
Kfar Saba Central Bus Station,32.174105,34.914767,way/888898100,Central Bus Station
Kiryat Gat Central Bus Station,31.609182,34.770247,node/1120007986,Central Bus Station
Kiryat Shmona Central Station,33.209514,35.569256,way/583552634,Central Bus Station
Lod Central Bus Station,31.956275,34.898137,way/406718008,Central Bus Station
Migdal Haemeq Central Bus Station,32.679229,35.239165,way/543966052,Central Bus Station
Nazareth Central Bus Station,32.701581,35.298688,node/4669838292,Central Bus Station
Ness Ziona Central Station,31.925480,34.797831,node/1803035401,Central Bus Station
Netanya Central Bus Station,32.326969,34.858680,way/30809475,Central Bus Station
Rehovot Central Bus Station,31.893369,34.807624,node/549246596,Central Bus Station
Rishon LeTsiyon Central Bus Station,31.967548,34.785041,node/4265818129,Central Bus Station
Rosh Pina Central Station,32.968668,35.548994,node/1803009521,Central Bus Station
Safed Central Bus Station,32.969898,35.497182,way/609984990,Central Bus Station
Sderot central bus station,31.524488,34.596216,node/4343011881,Central Bus Station
Tel Aviv New Central Bus Station,32.055661,34.779800,way/230605310,Central Bus Station
Tiberias central bus station,32.787233,35.536556,way/95304759,Central Bus Station
Technion (Lower),32.773810,35.026568,node/7598996148,Haifa Rakavlit
University of Haifa,32.763190,35.016394,node/2645430237,Haifa Rakavlit
Acre,32.928190,35.083058,node/2930618415,Israel Railways
Afula,32.621563,35.295226,node/4440444255,Israel Railways
Ahihud,32.911726,35.173439,node/5082642028,Israel Railways
Ashdod–Ad Halom–Metropol,31.773942,34.666238,node/2930618422,Israel Railways
Ashkelon,31.675934,34.604492,node/2930618423,Israel Railways
Atlit,32.692764,34.940222,node/3988544984,Israel Railways
Bat Yam - Komemiyyut,32.000832,34.759347,node/2930618419,Israel Railways
Bat Yam - Yoseftal,32.014611,34.761982,node/2930618418,Israel Railways
Be'er Sheva Merkaz,31.243076,34.798384,node/2930618425,Israel Railways
Be'er Ya'akov,31.932462,34.830571,node/4903319585,Israel Railways
Beer Sheva North - University,31.261895,34.809396,node/621348196,Israel Railways
Beit Shean,32.515005,35.488526,node/4440444254,Israel Railways
Beit Yehoshua,32.262604,34.860233,node/2930618406,Israel Railways
Ben Gurion Airport,32.000404,34.870480,node/3982712778,Israel Railways
Bet Shemesh,31.757820,34.989365,node/3090784765,Israel Railways
Binyamina,32.514553,34.949629,node/4590837775,Israel Railways
Bnei Brak–Ramat HaHayal,32.102892,34.830550,node/3712563183,Israel Railways
Caesarea-Pardes Hana,32.485261,34.954170,node/3703588164,Israel Railways
Dimona,31.068923,35.011833,node/3130051677,Israel Railways
HaMifrats Central Station,32.793350,35.035116,node/2930618411,Israel Railways
Hadera East,32.443830,34.951318,node/4528124569,Israel Railways
Hadera West,32.438380,34.899335,node/2906198781,Israel Railways
Haifa Bat Galim,32.830340,34.981759,node/2930618410,Israel Railways
Haifa Center HaShmona,32.822302,34.997363,node/429882321,Israel Railways
Haifa-Hof HaCarmel (Raziel),32.793514,34.957457,node/2923878193,Israel Railways
Herzelia,32.163981,34.817586,node/2914229359,Israel Railways
Hod HaSharon - Sokolov,32.170004,34.902012,node/3982765958,Israel Railways
Holon - Wolfson,32.035314,34.759691,node/3978658306,Israel Railways
Holon Junction,32.037040,34.776415,node/3978658307,Israel Railways
Hutzot Hamifratz,32.809401,35.054417,node/2930618412,Israel Railways
Jerusalem - Yitzhak Navon,31.788154,35.203000,node/7144868421,Israel Railways
Karmiel,32.923917,35.297136,node/2942466195,Israel Railways
Kfar Chabad,31.992896,34.853323,node/461613375,Israel Railways
Kfar Sava-Nordau (A.Kostyuk),32.167473,34.916798,node/3982780858,Israel Railways
Kiryat Gat,31.603149,34.777927,node/2930618427,Israel Railways
Kiryat Haim,32.824813,35.064274,node/2930618413,Israel Railways
Kiryat Mal'akhi - Yoav,31.746914,34.822507,node/4127965809,Israel Railways
Kiryat Motzkin,32.832957,35.069924,node/2930618414,Israel Railways
Lehavim Rahat,31.369818,34.798165,node/5188605493,Israel Railways
Lod,31.947643,34.878218,node/4590837774,Israel Railways
Lod - Gane Aviv,31.967028,34.878680,node/3982698630,Israel Railways
Mazkeret Batya,31.842142,34.856307,node/4127965810,Israel Railways
Migdal HaEmek – Kfar Baruch,32.647207,35.209454,node/4440447730,Israel Railways
Modi'in Center,31.901067,35.005752,node/2931455067,Israel Railways
Nahariya,33.004949,35.098829,node/5202426525,Israel Railways
Netanya,32.319954,34.869326,node/3703591031,Israel Railways
Netanya Sapir,32.279674,34.865508,node/4482054540,Israel Railways
Netivot,31.410749,34.571711,node/3982823163,Israel Railways
Ofakim,31.321510,34.634230,node/3988591607,Israel Railways
Pa'atai Modi'in,31.893120,34.960698,node/2931455068,Israel Railways
Petah Tikva Segula,32.111889,34.901032,node/2930682113,Israel Railways
Petah Tikva–Kiryat Aryeh,32.106326,34.862754,node/2930682112,Israel Railways
Ra'anana South,32.172654,34.886603,node/5705790741,Israel Railways
Ra'anana West,32.179983,34.850838,node/11264520000,Israel Railways
Ramla,31.929221,34.876728,node/4060304995,Israel Railways
Rechovot,31.909103,34.806908,node/3566973254,Israel Railways
Rishon LeTsiyyon - Moshe Dayan,31.987700,34.757285,node/2930618420,Israel Railways
Rishon LeTsiyyon HaRishonim,31.948854,34.803080,node/609582810,Israel Railways
Rosh Ha'Ayin-North,32.120636,34.934463,node/2930682115,Israel Railways
Sderot,31.515774,34.585427,node/4482230311,Israel Railways
Shomron – Tayyiba,32.276337,34.996602,node/13626956323,Israel Railways
Tel Aviv - HaHagana,32.054150,34.784802,node/3978658308,Israel Railways
Tel Aviv Hashalom,32.073559,34.793164,node/2930618403,Israel Railways
Tel Aviv Savidor Center,32.084244,34.798312,node/2930618402,Israel Railways
Tel Aviv University,32.103706,34.804610,node/2930618401,Israel Railways
Tira - Kokhav Ya'ir,32.229662,34.977013,node/13964778722,Israel Railways
Yavne - East,31.861336,34.743891,node/3086081414,Israel Railways
Yavne - West,31.891180,34.731222,node/2930618421,Israel Railways
Yokneam – Kfar Yehoshua,32.681041,35.125769,node/4440447731,Israel Railways
A-Sahal,31.811178,35.232793,node/1464782846,Jerusalem Light Rail
Ammunition Hill,31.799161,35.232061,node/891017311,Jerusalem Light Rail
Beit Hanina,31.819751,35.229074,node/1467060695,Jerusalem Light Rail
Betsal'el Bazak,31.766798,35.196542,node/14110228510,Jerusalem Light Rail
City Hall,31.779681,35.223858,node/1803044365,Jerusalem Light Rail
Damascus Gate,31.782483,35.227839,node/1405968969,Jerusalem Light Rail
Denya Square,31.780610,35.188318,node/891041025,Jerusalem Light Rail
Giv'at HaMivtar,31.805482,35.234274,node/1107348918,Jerusalem Light Rail
Giv'at Mordekhay,31.761222,35.199875,node/14110805877,Jerusalem Light Rail
Giv'at Ram,31.780759,35.197841,node/14110785641,Jerusalem Light Rail
Gonenim,31.752234,35.198912,node/14110759300,Jerusalem Light Rail
Government Complex,31.784838,35.200678,node/14110866504,Jerusalem Light Rail
Ha'Ayal,31.752869,35.188020,node/14110791431,Jerusalem Light Rail
